"feature","type","role","designed_missingness","missing_rate"
"discrete_19","discrete","noise_or_nuisance","MAR-like",0.1225
"discrete_20","discrete","noise_or_nuisance","MAR-like",0.1325
"ordinal_01","ordinal","informative","MAR-like",0.0525
"ordinal_02","ordinal","informative","MAR-like",0.0675
"ordinal_03","ordinal","informative","MNAR-sensitive",0.12
"ordinal_04","ordinal","informative","MAR-like",0.115
"ordinal_05","ordinal","informative","MAR-like",0.0975
"ordinal_06","ordinal","informative","MAR-like",0.1125
"ordinal_07","ordinal","informative","MAR-like",0.075
"ordinal_08","ordinal","informative","MAR-like",0.1625
"ordinal_09","ordinal","informative","MAR-like",0.1275
"ordinal_10","ordinal","informative","MAR-like",0.1325
"ordinal_11","ordinal","noise_or_nuisance","MAR-like",0.0775
"ordinal_12","ordinal","noise_or_nuisance","MNAR-sensitive",0.1175
"ordinal_13","ordinal","noise_or_nuisance","MAR-like",0.0925
"ordinal_14","ordinal","noise_or_nuisance","MAR-like",0.12
"ordinal_15","ordinal","noise_or_nuisance","MAR-like",0.0875
"ordinal_16","ordinal","noise_or_nuisance","MAR-like",0.0825
"ordinal_17","ordinal","noise_or_nuisance","MAR-like",0.12
"ordinal_18","ordinal","noise_or_nuisance","MAR-like",0.1225
"ordinal_19","ordinal","noise_or_nuisance","MAR-like",0.14
"ordinal_20","ordinal","noise_or_nuisance","MAR-like",0.1225
"categorical_01","categorical","informative","MAR-like",0.065
"categorical_02","categorical","informative","MAR-like",0.1125
"categorical_03","categorical","informative","MAR-like",0.11
"categorical_04","categorical","informative","MAR-like",0.0875
"categorical_05","categorical","informative","MAR-like",0.0975
"categorical_06","categorical","informative","MAR-like",0.1075
"categorical_07","categorical","informative","MAR-like",0.1225
"categorical_08","categorical","informative","MAR-like",0.1275
"categorical_09","categorical","informative","MAR-like",0.1425
"categorical_10","categorical","informative","MAR-like",0.115
"categorical_11","categorical","noise_or_nuisance","MAR-like",0.1025
"categorical_12","categorical","noise_or_nuisance","MAR-like",0.0575
"categorical_13","categorical","noise_or_nuisance","MAR-like",0.095
"categorical_14","categorical","noise_or_nuisance","MAR-like",0.0625
"categorical_15","categorical","noise_or_nuisance","MAR-like",0.085
"categorical_16","categorical","noise_or_nuisance","MAR-like",0.1225
"categorical_17","categorical","noise_or_nuisance","MAR-like",0.1025
"categorical_18","categorical","noise_or_nuisance","MAR-like",0.1225
"categorical_19","categorical","noise_or_nuisance","MAR-like",0.1125
"categorical_20","categorical","noise_or_nuisance","MAR-like",0.175
"binary_01","binary","informative","MAR-like",0.0775
"binary_02","binary","informative","MAR-like",0.0625
"binary_03","binary","informative","MAR-like",0.11
"binary_04","binary","informative","MAR-like",0.1075
"binary_05","binary","informative","MAR-like",0.1125
"binary_06","binary","noise_or_nuisance","MAR-like",0.13
"binary_07","binary","noise_or_nuisance","MAR-like",0.125
"binary_08","binary","noise_or_nuisance","MAR-like",0.155
"binary_09","binary","noise_or_nuisance","MAR-like",0.1375
"binary_10","binary","noise_or_nuisance","MAR-like",0.1825
