"feature","type","domain","role","mnar_direction","designed_missingness","description"
"discrete_06","discrete","domain_06","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_07","discrete","domain_07","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_08","discrete","domain_08","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_09","discrete","domain_09","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_10","discrete","domain_10","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_11","discrete","domain_01","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_12","discrete","domain_02","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_13","discrete","domain_03","noise_or_nuisance",-1,"MNAR-sensitive","Synthetic discrete feature"
"discrete_14","discrete","domain_04","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_15","discrete","domain_05","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_16","discrete","domain_06","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_17","discrete","domain_07","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_18","discrete","domain_08","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_19","discrete","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"discrete_20","discrete","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic discrete feature"
"ordinal_01","ordinal","domain_01","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_02","ordinal","domain_02","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_03","ordinal","domain_03","informative",1,"MNAR-sensitive","Synthetic ordinal feature"
"ordinal_04","ordinal","domain_04","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_05","ordinal","domain_05","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_06","ordinal","domain_06","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_07","ordinal","domain_07","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_08","ordinal","domain_08","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_09","ordinal","domain_09","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_10","ordinal","domain_10","informative",0,"MAR-like","Synthetic ordinal feature"
"ordinal_11","ordinal","domain_01","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_12","ordinal","domain_02","noise_or_nuisance",-1,"MNAR-sensitive","Synthetic ordinal feature"
"ordinal_13","ordinal","domain_03","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_14","ordinal","domain_04","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_15","ordinal","domain_05","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_16","ordinal","domain_06","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_17","ordinal","domain_07","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_18","ordinal","domain_08","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_19","ordinal","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"ordinal_20","ordinal","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic ordinal feature"
"categorical_01","categorical","domain_01","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_02","categorical","domain_02","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_03","categorical","domain_03","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_04","categorical","domain_04","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_05","categorical","domain_05","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_06","categorical","domain_06","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_07","categorical","domain_07","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_08","categorical","domain_08","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_09","categorical","domain_09","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_10","categorical","domain_10","informative",0,"MAR-like","Synthetic categorical feature"
"categorical_11","categorical","domain_01","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_12","categorical","domain_02","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_13","categorical","domain_03","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_14","categorical","domain_04","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_15","categorical","domain_05","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_16","categorical","domain_06","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_17","categorical","domain_07","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_18","categorical","domain_08","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_19","categorical","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"categorical_20","categorical","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic categorical feature"
"binary_01","binary","domain_01","informative",0,"MAR-like","Synthetic binary feature"
"binary_02","binary","domain_02","informative",0,"MAR-like","Synthetic binary feature"
"binary_03","binary","domain_03","informative",0,"MAR-like","Synthetic binary feature"
"binary_04","binary","domain_04","informative",0,"MAR-like","Synthetic binary feature"
"binary_05","binary","domain_05","informative",0,"MAR-like","Synthetic binary feature"
"binary_06","binary","domain_06","noise_or_nuisance",0,"MAR-like","Synthetic binary feature"
"binary_07","binary","domain_07","noise_or_nuisance",0,"MAR-like","Synthetic binary feature"
"binary_08","binary","domain_08","noise_or_nuisance",0,"MAR-like","Synthetic binary feature"
"binary_09","binary","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic binary feature"
"binary_10","binary","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic binary feature"
