"feature","type","domain","role","mnar_direction","designed_missingness","description"
"categorical_16","categorical","categorical_16","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_17","categorical","categorical_17","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_18","categorical","categorical_18","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_19","categorical","categorical_19","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_20","categorical","categorical_20","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_01","binary","binary_01","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_02","binary","binary_02","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_03","binary","binary_03","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_04","binary","binary_04","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_05","binary","binary_05","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_06","binary","binary_06","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_07","binary","binary_07","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_08","binary","binary_08","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_09","binary","binary_09","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"binary_10","binary","binary_10","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
